med,frequency
replace atenolol with metoprolol,1
metformin 850 qd,1
lopressor 75 bid,1
zestril 30 qd,1
self-d/c'd zestril,1
zestril ,1
plavix 75 qd,1
start Lipitor ,1
Restart Lipitor ,1
Ntg 1/150 (NITROGLYCERIN 1/150 (0.4 MG)) 1 TAB SL,1
On Metformin 500 mg BID # 60 and 6 refills. AllMed Insurance covers for it,1
Not taking Metformin for 1 month,1
switch lisinopril to captopril,1
 hold metformin,1
dilt,1
 diltiazem ,1
reinstated the Lipitor ,1
reinstated metformin,1
"used to be on Lipitor,",1
DC Actos,1
 Actos,1
discontinued  Metformin,1
Triamterene,1
start her on 5 mg. of Zestril ,1
"Hold all oral hypoglycemics, start insulin sliding scale.",1
. Start NPH,1
switched to Lantus,1
10U regular,1
 Lipitor was d/c'd at some point,1
starting lipitor,1
starting ASA,1
and Labetolol,1
start Nicardipine ,1
